X,Y,Z,Vp,Vs,Vp/Vs
310.5,9083.5,0.0,3.595,2.325,1.5462365591397849
310.5,9083.5,-4.0,5.09,2.93,1.7372013651877132
310.5,9083.5,-8.0,5.26,3.02,1.7417218543046358
310.5,9083.5,-12.0,5.9,3.295,1.7905918057663128
310.5,9083.5,-16.0,6.48,3.655,1.7729138166894667
310.5,9083.5,-20.0,6.54,3.8,1.7210526315789474
310.5,9083.5,-24.0,6.985,4.09,1.7078239608801957
310.5,9083.5,-28.0,7.43,4.38,1.6963470319634704
310.5,9083.5,-52.0,7.43,4.38,1.6963470319634704
310.5,9086.5,8.0,2.64,1.97,1.3401015228426396
310.5,9086.5,4.0,2.64,1.97,1.3401015228426396
310.5,9086.5,0.0,3.595,2.325,1.5462365591397849
310.5,9086.5,-4.0,5.09,2.93,1.7372013651877132
310.5,9086.5,-8.0,5.26,3.02,1.7417218543046358
310.5,9086.5,-12.0,5.9,3.295,1.7905918057663128
310.5,9086.5,-16.0,6.48,3.655,1.7729138166894667
310.5,9086.5,-20.0,6.54,3.8,1.7210526315789474
310.5,9086.5,-24.0,6.985,4.09,1.7078239608801957
310.5,9086.5,-28.0,7.43,4.38,1.6963470319634704
310.5,9086.5,-52.0,7.43,4.38,1.6963470319634704
310.5,9089.5,8.0,2.64,1.97,1.3401015228426396
310.5,9089.5,4.0,2.64,1.97,1.3401015228426396
310.5,9089.5,0.0,3.595,2.325,1.5462365591397849
310.5,9089.5,-4.0,5.09,2.93,1.7372013651877132
310.5,9089.5,-8.0,5.26,3.02,1.7417218543046358
310.5,9089.5,-12.0,5.9,3.295,1.7905918057663128
310.5,9089.5,-16.0,6.48,3.655,1.7729138166894667
310.5,9089.5,-20.0,6.54,3.8,1.7210526315789474
310.5,9089.5,-24.0,6.985,4.09,1.7078239608801957
310.5,9089.5,-28.0,7.43,4.38,1.6963470319634704
310.5,9089.5,-52.0,7.43,4.38,1.6963470319634704
310.5,9092.5,8.0,2.64,1.97,1.3401015228426396
310.5,9092.5,4.0,2.64,1.97,1.3401015228426396
310.5,9092.5,0.0,3.595,2.325,1.5462365591397849
310.5,9092.5,-4.0,5.09,2.93,1.7372013651877132
310.5,9092.5,-8.0,5.26,3.02,1.7417218543046358
310.5,9092.5,-12.0,5.9,3.295,1.7905918057663128
310.5,9092.5,-16.0,6.48,3.655,1.7729138166894667
310.5,9092.5,-20.0,6.54,3.8,1.7210526315789474
310.5,9092.5,-24.0,6.985,4.09,1.7078239608801957
310.5,9092.5,-28.0,7.43,4.38,1.6963470319634704
310.5,9092.5,-52.0,7.43,4.38,1.6963470319634704
310.5,9095.5,8.0,2.64,1.97,1.3401015228426396
310.5,9095.5,4.0,2.64,1.97,1.3401015228426396
310.5,9095.5,0.0,3.595,2.325,1.5462365591397849
310.5,9095.5,-4.0,5.09,2.93,1.7372013651877132
310.5,9095.5,-8.0,5.26,3.02,1.7417218543046358
310.5,9095.5,-12.0,5.9,3.295,1.7905918057663128
310.5,9095.5,-16.0,6.48,3.655,1.7729138166894667
310.5,9095.5,-20.0,6.54,3.8,1.7210526315789474
310.5,9095.5,-24.0,6.985,4.09,1.7078239608801957
310.5,9095.5,-28.0,7.43,4.38,1.6963470319634704
310.5,9095.5,-52.0,7.43,4.38,1.6963470319634704
317.5,9059.5,8.0,2.64,1.97,1.3401015228426396
